scope,prompt_mode,category,total_tasks,scored_tasks,api_errors,planning_accuracy,action_validity,format_compliance,hallucination_rate,hallucination_task_rate,parse_coverage,object_reference_count
overall,all,all,80,80,0,1.0,1.0,1.0,0.0,0.0,1.0,200
category,all,single_step,20,20,0,1.0,1.0,1.0,0.0,0.0,1.0,20
category,all,spatial,20,20,0,1.0,1.0,1.0,0.0,0.0,1.0,60
category,all,multi_step,20,20,0,1.0,1.0,1.0,0.0,0.0,1.0,120
category,all,impossible,20,20,0,1.0,1.0,1.0,,0.0,1.0,0
prompt_mode,free_form,all,40,40,0,1.0,1.0,1.0,0.0,0.0,1.0,100
prompt_mode_category,free_form,single_step,10,10,0,1.0,1.0,1.0,0.0,0.0,1.0,10
prompt_mode_category,free_form,spatial,10,10,0,1.0,1.0,1.0,0.0,0.0,1.0,30
prompt_mode_category,free_form,multi_step,10,10,0,1.0,1.0,1.0,0.0,0.0,1.0,60
prompt_mode_category,free_form,impossible,10,10,0,1.0,1.0,1.0,,0.0,1.0,0
prompt_mode,structured,all,40,40,0,1.0,1.0,1.0,0.0,0.0,1.0,100
prompt_mode_category,structured,single_step,10,10,0,1.0,1.0,1.0,0.0,0.0,1.0,10
prompt_mode_category,structured,spatial,10,10,0,1.0,1.0,1.0,0.0,0.0,1.0,30
prompt_mode_category,structured,multi_step,10,10,0,1.0,1.0,1.0,0.0,0.0,1.0,60
prompt_mode_category,structured,impossible,10,10,0,1.0,1.0,1.0,,0.0,1.0,0
