scope,prompt_mode,category,total_tasks,scored_tasks,api_errors,planning_accuracy,action_validity,format_compliance,hallucination_rate,hallucination_task_rate,parse_coverage,object_reference_count
overall,all,all,80,80,0,0.4875,0.8375,1.0,0.0783132530120482,0.1625,1.0,166
category,all,single_step,20,20,0,0.65,1.0,1.0,0.0,0.0,1.0,13
category,all,spatial,20,20,0,0.45,1.0,1.0,0.0,0.0,1.0,60
category,all,multi_step,20,20,0,0.5,1.0,1.0,0.0,0.0,1.0,80
category,all,impossible,20,20,0,0.35,0.35,1.0,1.0,0.65,1.0,13
prompt_mode,free_form,all,40,40,0,0.45,0.775,1.0,0.10344827586206896,0.225,1.0,87
prompt_mode_category,free_form,single_step,10,10,0,0.8,1.0,1.0,0.0,0.0,1.0,8
prompt_mode_category,free_form,spatial,10,10,0,0.4,1.0,1.0,0.0,0.0,1.0,30
prompt_mode_category,free_form,multi_step,10,10,0,0.5,1.0,1.0,0.0,0.0,1.0,40
prompt_mode_category,free_form,impossible,10,10,0,0.1,0.1,1.0,1.0,0.9,1.0,9
prompt_mode,structured,all,40,40,0,0.525,0.9,1.0,0.05063291139240506,0.1,1.0,79
prompt_mode_category,structured,single_step,10,10,0,0.5,1.0,1.0,0.0,0.0,1.0,5
prompt_mode_category,structured,spatial,10,10,0,0.5,1.0,1.0,0.0,0.0,1.0,30
prompt_mode_category,structured,multi_step,10,10,0,0.5,1.0,1.0,0.0,0.0,1.0,40
prompt_mode_category,structured,impossible,10,10,0,0.6,0.6,1.0,1.0,0.4,1.0,4
